category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
C,625859,1,11,54,11,3,625859,0,,00dd00,,,,,0,1,,"thomas mccoy TIGR",
B,746846,2,11,54,45,,746846,0,CYCMYTH,ffffff,0073b7,ffffff,,,2807,1,,"Richard Hale (CYCMYTH)",au
C,768587,1,11,54,11,,768587,0,,00dd00,,,,,0,1,,"Nathan Thatcher",us
B,916152,1,11,54,45,,916152,0,,00dd00,,,,,0,1,,"Daniel Lewis",au
B,59163,1,10,54,50,,59163,0,,00dd00,,,,,0,1,,"Chris Yates",
A,110385,1,10,54,30,,110385,0,,00dd00,,,,,0,1,,"Per Arvid Gimre",no
C,133654,1,10,54,15,3,133654,0,,00dd00,,,,,0,1,,"☕️ Sony Tandi ☕️",id
C,208514,1,10,54,15,1,208514,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Ruben Martinsen",no
A,288942,1,10,54,30,,288942,0,,00dd00,,,,,0,1,,"Stinky S",us
B,410070,1,10,54,50,,410070,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"David Peirlinck",be
B,414438,1,10,54,50,1,414438,0,"Washed Up Racing",080707,73fc08,ffffff,,,2216,1,,"Brian Gefroh",us
C,651926,1,10,54,15,,651926,0,,00dd00,,,,,0,1,,"Vince Tanzi",us
B,663778,1,10,54,50,,663778,0,"Sky Limits",26c4ec,ffffff,000000,,,2872,1,,"Clement Rothlisberger",fr
C,799917,1,10,54,15,,799917,0,,00dd00,,,,,0,1,,"Dom Johnston",au
B,805875,1,10,54,50,,805875,0,,00dd00,,,,,0,1,,"Geir Rasmussen",no
B,843748,1,10,54,50,,843748,0,,00dd00,,,,,0,1,,"Matt Whiteley",gb
A,886476,1,10,54,30,,886476,0,,00dd00,,,,,0,1,,"otto mueller4785",de
B,44323,1,9,54,56,,44323,0,YKR,ffff00,0094ff,01b7a8,,,2394,1,,"Dash Hansom",gb
B,46399,1,9,54,56,2,46399,0,,00dd00,,,,,0,1,,"Rhys Edwards",us
C,50234,1,9,54,19,,50234,0,,00dd00,,,,,0,1,,"James O&#039;Loughlin Ⓥ",ie
B,101846,1,9,54,56,,101846,0,,00dd00,,,,,0,1,,"Paul Beaton",gb-wls
A,137577,1,9,54,33,2,137577,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Sean Vintin",au
B,218775,1,9,54,56,,218775,0,,00dd00,,,,,0,1,,"John Stadick-USMES",us
A,247818,1,9,54,33,,247818,0,"VS CYCLES",ffffff,0073b7,ffffff,,,783,1,,"Paul Waddington",gb
B,262564,1,9,54,56,,262564,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"thomas johansen",no
C,459865,1,9,54,19,,459865,0,,00dd00,,,,,0,1,,"Max Noger (Rollers) ",ca
A,490481,1,9,54,33,,490481,0,,00dd00,,,,,0,1,,"Henrik Johannesson",dk
B,513856,1,9,54,56,2,513856,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Jan R. Ekedal",no
