category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
C,2,17,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Linda  Brocato [vvixen],us,551148,gold
C,1,17,DBR,1986,ffffff,eb7b2a,ffffff,Tine Mathiesen,dk,486805,
C,1,15,ZSUN,161,ffffff,0073b7,ffffff,Sandra kelly,ie,793741,
C,1,15,REVO,2672,fc00e3,000000,fc00e3,Melissa Hunter REVO,us,209515,silver
C,3,14,,0,00dd00,,,Lynn Simpson 1920,gb,923028,
C,1,13,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Adelle Condon,us,14689,
C,1,13,,,,,,Pamela Kennedy,us,963876,
C,1,11,,,,,,Diz [KruisCX],hu,958342,
C,2,10,BRT,4,ffffff,050505,ff8100,Rose Garner,us,387716,
C,1,9,,0,00dd00,,,Carolyn Wilk,us,906242,
C,1,8,,,,,,Ani @ani.new,at,897512,
C,2,7,,0,00dd00,,,L Rathjen,us,874935,
C,1,7,,,,,,Christine Fuentes,us,215767,
C,1,7,,0,00dd00,,,Anna Sigga,is,124489,
C,1,6,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Cath Erine,gb,217599,
C,1,5,ZSUN,161,ffffff,0073b7,ffffff,Helen Sharif Zsun-C,us,475136,
C,1,5,REVO,2672,fc00e3,000000,fc00e3,Karen Grady,us,382572,
C,1,5,,0,00dd00,,,M Collins,us,804568,
C,1,5,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Caroline Gordon [VVixen],us,895492,
C,1,4,#EFDV,3094,4d4149,ff68c6,060004,Laura Fortin #EFDV,fr,929075,
C,1,4,,0,00dd00,,,Lisa Buckland,us,10011,
C,1,3,,,,,,Elaine DeBitetto (MONSTERS),us,189197,
C,1,3,,,,,,Susie wyrick,us,10598,
C,1,3,ZSUN,161,ffffff,0073b7,ffffff,Maggie Kean ZSUN (C),us,60446,
C,1,3,REVO,2672,fc00e3,000000,fc00e3,Fran Bambust,nl,427114,
C,1,3,ZSUN,161,ffffff,0073b7,ffffff,Steph Hub ,ca,661933,
C,1,2,,0,00dd00,,,Diane Laliberte,ca,909168,
C,1,1,BRT,4,ffffff,050505,ff8100,Lucille Corrigan BRT(HellcatZ) ,gb,1084832,
C,1,1,,0,00dd00,,,M. Dybich,pl,891336,
D,6,49,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Cerys Willoughby,gb,30637,gold silver silver gold gold bronze
D,4,34,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Debbie Mitchell,ca,128754,gold silver silver gold
D,5,25,REVO,2672,fc00e3,000000,fc00e3,Sara Perrin [REVO] D,us,420144,silver bronze bronze silver
D,2,14,BRT,4,ffffff,050505,ff8100,Laura Mitchell [BRT Hellcatz] D,gb,683476,silver silver
D,1,10,Team CLS,1426,3d9970,ffffff,ffffff,Julie Byrne,gb,171404,gold
D,1,10,BRT,4,ffffff,050505,ff8100,Kim Cognato (BRT HellcatZ D),us,598020,gold
D,2,8,BRT,4,ffffff,050505,ff8100,Giovanna Fantucchio,gb,399625,bronze
D,3,7,We Showed Up,2216,080707,adff2f,ffffff,Karen  Abbott [WSU),ca,534442,bronze
D,1,7,ETC athletics,3559,ffffff,339933,006633,Virginie Calvar-Caillat4048,fr,960166,silver
D,1,7,,,,,,Meganne Huett,us,203007,silver
D,1,7,,0,00dd00,,,Chris Fox,ca,91826,silver
D,1,7,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Joan Ingram [VVixen]&#129418;,us,679945,silver
D,2,6,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Jessica York,us,120839,bronze
D,1,5,ZRG,1942,1bc1f1,5b5b5b,1bc1f1,Katrin  Eichstaedt(WTT),de,974521,bronze
D,1,5,REVO,2672,fc00e3,000000,fc00e3,Cheryl Niccum,us,96756,bronze
D,1,5,,0,00dd00,,,Lori Martell,us,141844,bronze
D,1,3,,,,,,K. A.,gb,344727,
D,1,3,BRT,4,ffffff,050505,ff8100,Sue Swan,gb,694853,
D,1,3,,,,,,Lisa Mackinnon,,893022,
D,1,3,,,,,,Kim DuBord- Team ERRACE,us,2935,
D,1,3,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Susan Shafer 8461,us,696310,
D,1,3,BRT,4,ffffff,050505,ff8100,Susie Phillips HERD,gb,421982,
D,1,3,,0,00dd00,,,Ellie Norvell ,us,600197,
D,1,1,,,,,,Mercedes Jetton,us,945308,
