category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,410070,1,10,59,196,,410070,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"David Peirlinck",be
B,414438,1,10,59,196,1,414438,0,"Washed Up Racing",080707,73fc08,ffffff,,,2216,1,,"Brian Gefroh",us
A,415856,2,10,59,91,,415856,0,"Team Italy",dd4b39,ffffff,00a65a,,,588,1,,"Edoardo Fustinoni",it
C,421152,1,10,59,87,,421152,0,,00dd00,,,,,0,1,,"David Tippins",gb
A,428886,1,10,59,91,3,428886,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"R. Damitz [ZRG-R])/ZHR(D)",de
B,442903,1,10,59,196,,442903,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Brian Kerff (DBR)",dk
A,473457,1,10,59,91,,473457,0," VEGAN ",ffffff,00a65a,0adb2c,,,1845,1,,"Thomas Torbik. Vegan Power!",us
C,477951,2,10,59,87,,477951,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"Steven Slater (HNCC) 5508",gb
C,484253,1,10,59,87,,484253,0,,00dd00,,,,,0,1,,"Audun Hobol",no
C,499765,1,10,59,87,,499765,0,,00dd00,,,,,0,1,,"Chris Davidson",gb
A,514370,1,10,59,91,,514370,0,BRT,ffffff,050505,ff8100,,,4,1,,"Phil Donnelly  [BRT]",gb
C,651926,1,10,59,87,,651926,0,,00dd00,,,,,0,1,,"Vince Tanzi",us
B,663778,1,10,59,196,,663778,0,"Sky Limits",26c4ec,ffffff,000000,,,2872,1,,"Clement Rothlisberger",fr
A,668604,1,10,59,91,,668604,0,,00dd00,,,,,0,1,,"Håvard Bjerke",no
B,725143,1,10,59,196,,725143,0,,00dd00,,,,,0,1,,"Ghislain MARTY 1657",fr
C,770291,1,10,59,87,,770291,0,,00dd00,,,,,0,1,,"Bootsi Bootsmann",de
C,783909,1,10,59,87,1,783909,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Pio Trek",pl
C,799917,1,10,59,87,,799917,0,,00dd00,,,,,0,1,,"Dom Johnston",au
B,815527,1,10,59,196,,815527,0,,00dd00,,,,,0,1,,"Mathieu Guerville3946",fr
B,832297,1,10,59,196,,832297,0,"Team CLS",3d9970,ffffff,ffffff,,,1426,1,,"Andrew Knight",gb-wls
B,843748,1,10,59,196,,843748,0,,00dd00,,,,,0,1,,"Matt Whiteley",gb
A,886476,1,10,59,91,,886476,0,,00dd00,,,,,0,1,,"otto mueller4785",de
C,888100,1,10,59,87,,888100,0,,00dd00,,,,,0,1,,"John Logan ",gb
B,905056,1,10,59,196,,905056,0,,00dd00,,,,,0,1,,"Marco Sauer",de
B,907148,1,10,59,196,1,907148,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Michał Zaranko ",pl
B,1982,1,9,59,214,1,1982,0,,00dd00,,,,,0,1,,"Eric Welch",us
A,6720,1,9,59,102,,6720,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Andy Davies",gb
A,9044,1,9,59,102,,9044,0,,00dd00,,,,,0,1,,"Tyler Waldron",us
B,38108,1,9,59,214,,38108,0,,00dd00,,,,,0,1,,"Stuart Fance",
C,38981,1,9,59,104,,38981,0,BRT,ffffff,050505,ff8100,,,4,1,,"David Clark",ca
B,44323,1,9,59,214,,44323,0,YKR,ffff00,0094ff,01b7a8,,,2394,1,,"Dash Hansom",gb
B,45456,1,9,59,214,,45456,0,,00dd00,,,,,0,1,,"Jeppe Bjerring",dk
B,46399,1,9,59,214,2,46399,0,,00dd00,,,,,0,1,,"Rhys Edwards",us
C,50234,1,9,59,104,,50234,0,,00dd00,,,,,0,1,,"James O&#039;Loughlin Ⓥ",ie
A,75218,1,9,59,102,,75218,0,Vision,ffffff,2ea9e0,000000,,,9,1,,"Mathieu Drujon 🎩",fr
B,78696,1,9,59,214,1,78696,0,,00dd00,,,,,0,1,,"Takumi Itsusaki",jp
