category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
A,19673,1,7,51,36,,19673,0,TeamNL,ffffff,ffa500,ffa500,,,2281,1,,"Frido Frencken",nl
C,50615,1,7,51,10,1,50615,0,"Team Type 1",ffffff,0073b7,ffffff,,,168,1,,"Steve Reynolds",gb-wls
A,53322,1,7,51,36,,53322,0,"FUSION ECT",ffffff,000000,ffffff,,,2854,1,,"Morten Tillquist",dk
B,71646,1,7,51,66,,71646,0,DTR,ffffff,000000,ff0000,,,2744,1,,"David MacLeod",
A,91788,1,7,51,36,,91788,0,,00dd00,,,,,0,1,,"Dusan Hajdinjak",si
C,139198,1,7,51,10,2,139198,0,,00dd00,,,,,0,1,,"Nick Huntley",gb
A,183398,1,7,51,36,,183398,0,,00dd00,,,,,0,1,,"Andrej Zavbi",si
B,277120,1,7,51,66,,277120,0,"Team JZQC",ffffff,003399,ffffff,,,2571,1,,"yann millette JCQC",ca
B,283718,1,7,51,66,,283718,0,,00dd00,,,,,0,1,,"Paul Bird",gb
A,420829,1,7,51,36,,420829,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Lasse Borg",dk
A,461575,1,7,51,36,3,461575,0,,00dd00,,,,,0,1,,"Ian Notley",gb
C,463373,1,7,51,10,3,463373,0,,00dd00,,,,,0,1,,"Fabio Manzi",it
C,552993,1,7,51,10,,552993,0,BRT,ffffff,050505,ff8100,,,4,1,,"Sue McCormick BRT Hellcatz ",gb
B,607197,1,7,51,66,,607197,0,,00dd00,,,,,0,1,,"GEORGE WHITE",gb
C,625842,1,7,51,10,1,625842,0,,00dd00,,,,,0,1,,"Scott Fletcher",gb
B,943965,1,7,51,66,,943965,0,,00dd00,,,,,0,1,,"Christoph Balke",de
D,13850,2,6,51,1,2,13850,0,,00dd00,,,,,0,1,,"Scott Cadzow",gb-sct
A,23827,1,6,51,42,,23827,0,"Team Type 1",ffffff,0073b7,ffffff,,,168,1,,"Nick Assinck",nl
C,54711,1,6,51,15,3,54711,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Jesper &quot;Faxe&quot;",dk
B,163762,1,6,51,71,,163762,0,,00dd00,,,,,0,1,,"Terry Dodsworth",gb-eng
B,173454,1,6,51,71,,173454,0,"Team TFC Racing",111111,f3f300,111111,,,10,1,,"Gus Goad TFC ",gb
B,212519,1,6,51,71,,212519,0,Merkea,ffffff,0073b7,ffffff,,,755,1,,"Pascal Robert",fr
A,237172,1,6,51,42,,237172,0,,00dd00,,,,,0,1,,"Sam Wadsley",gb
C,277092,1,6,51,15,,277092,0,"Team CLS",3d9970,ffffff,ffffff,,,1426,1,,"Leonard Hodgkiss",gb
C,292957,1,6,51,15,,292957,0,,00dd00,,,,,0,1,,"Graham Wedeven",us
A,326478,1,6,51,42,,326478,0,,00dd00,,,,,0,1,,"Haywood Jablome",ch
B,384313,1,6,51,71,,384313,0,"Team R2",ff8700,000000,5cb0fc,,,41,1,,"Markus Nübel",de
C,460302,1,6,51,15,2,460302,0,,00dd00,,,,,0,1,,"Martyn Lewis4157",gb
C,461802,1,6,51,15,3,461802,0,SpeedVille.de,ffffff,14ba14,ffffff,,,3190,1,,"Scherzinger C.",de
C,519651,1,6,51,15,2,519651,0,GDW,ffffff,02a1f7,c75454,,,2783,1,,"Mark Harvey GDW",gb-eng
A,606264,1,6,51,42,,606264,0,,00dd00,,,,,0,1,,"Jack Levick",gb
A,679365,1,6,51,42,,679365,0,BRT,ffffff,050505,ff8100,,,4,1,,"David Crawford",gb
D,814625,2,6,51,1,1,814625,0,,00dd00,,,,,0,1,,"Mike Loot",gb
A,28524,1,5,51,47,,28524,0,,00dd00,,,,,0,1,,"Rich Babbage",gb
A,56138,1,5,51,47,,56138,0,Vision,ffffff,2ea9e0,000000,,,9,1,,"Kristin Falck",no
A,58901,1,5,51,47,,58901,0,,00dd00,,,,,0,1,,"ronan o&#039;cualain",ie
A,77908,1,5,51,47,,77908,0,TVZT,ffffff,212020,d93838,,,2887,1,,"Ralph Mullan",ie
B,158483,1,5,51,75,,158483,0,,00dd00,,,,,0,1,,"Michael Telpner",ca
C,159803,1,5,51,21,,159803,0,ZAZ,0a0606,0073b7,0a0606,,,2679,1,,"Eben Snijman",za
C,176288,1,5,51,21,3,176288,0,,00dd00,,,,,0,1,,"Anders Larsson",se
B,234533,1,5,51,75,,234533,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Bryce Renkiewicz",us
B,444692,2,5,51,75,,444692,0,,00dd00,,,,,0,1,,"Darren Moore",im
C,446611,1,5,51,21,3,446611,0,,00dd00,,,,,0,1,,"el commander Delta-Bike.de",de
A,647740,1,5,51,47,,647740,0,,00dd00,,,,,0,1,,"Andrew Stokes",gb
C,828987,1,5,51,21,,828987,0,,00dd00,,,,,0,1,,"Martin Scudder",gb
B,855984,1,5,51,75,,855984,0,"Team C&E",ffffff,0073b7,ffffff,,,2992,1,,"Glenny Hansen",dk
C,888254,1,5,51,21,,888254,0,#3cycles,ffffff,0073b7,ffffff,,,3128,1,,"# 3CYCLESFF",fr
B,24741,1,4,51,79,,24741,0,,00dd00,,,,,0,1,,"Chris Beecham",gb
A,36027,1,4,51,52,,36027,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Alexis  LOUGE ",fr
A,75382,1,4,51,52,,75382,0,,00dd00,,,,,0,1,,"IAN MUSSELWHITE 3095",gb
D,98288,3,4,51,3,3,98288,0,TVZT,ffffff,212020,d93838,,,2887,1,,"Paul Hirst",gb
A,112482,1,4,51,52,,112482,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Justin Schroeder",us
C,123214,1,4,51,26,,123214,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Eric Bonner RaceWBR",gb
C,130504,1,4,51,26,,130504,0,"Team TFC Racing",111111,f3f300,111111,,,10,1,,"Lee Robinson TFC ",gb
A,172233,1,4,51,52,3,172233,0,CBT,ffffff,000000,ffffff,,,2349,1,,"Raimund Lehle",eu
B,251683,1,4,51,79,,251683,0,,00dd00,,,,,0,1,,"Mark Langley",nz
C,487073,1,4,51,26,,487073,0,,00dd00,,,,,0,1,,"Moarten76 Bachofner",ch
C,508173,1,4,51,26,,508173,0,,00dd00,,,,,0,1,,"Luc Verdoodt",be
A,679508,1,4,51,52,,679508,0,,00dd00,,,,,0,1,,"Tobias Dernell",se
C,819462,1,4,51,26,,819462,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Grzegorz Futyma",pl
C,908424,1,4,51,26,2,908424,0,,00dd00,,,,,0,1,,"Jarosław Lapawa9777",pl
C,930347,1,4,51,26,,930347,0,,00dd00,,,,,0,1,,"Jack Hoadley1191",gb
D,941590,1,4,51,3,2,941590,0,,00dd00,,,,,0,1,,"Philip Duvall",us
C,19542,1,3,51,33,,19542,0,DIRT,29ec34,563c0f,df6a0d,,,2707,1,,"Kristian Lund Kristiansen",no
B,59136,1,3,51,81,,59136,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"Daniel Valverde ",de
D,117102,1,3,51,5,3,117102,0,,00dd00,,,,,0,1,,"matt armitage",gb
D,154563,1,3,51,5,1,154563,0,,00dd00,,,,,0,1,,"Greg Lemon ",gb
A,163282,1,3,51,57,,163282,0,BRT,ffffff,050505,ff8100,,,4,1,,"Steve Stellings",gb
A,181980,1,3,51,57,,181980,0,,00dd00,,,,,0,1,,"Steve Ripley",gb
C,249853,1,3,51,33,3,249853,0,,00dd00,,,,,0,1,,"Robert Kvinge",no
B,265523,1,3,51,81,,265523,0,ZESP,000000,fabd00,ad1519,,,2146,1,,"Jorghotten ",es
C,414893,1,3,51,33,,414893,0,TeamNL,ffffff,ffa500,ffa500,,,2281,1,,"Seb ten Cate",nl
D,441813,1,3,51,5,1,441813,0,,00dd00,,,,,0,1,,"Bauke Planting",nl
B,454614,2,3,51,81,,454614,0,,00dd00,,,,,0,1,,"Budgie Bird",gb
D,456387,1,3,51,5,2,456387,0,,00dd00,,,,,0,1,,"ZhrRobert Proctor A",gb
A,521148,1,3,51,57,,521148,0,TeamNL,ffffff,ffa500,ffa500,,,2281,1,,"Erwin Ton",nl
C,804414,1,3,51,33,,804414,0,,00dd00,,,,,0,1,,"John ED",gb
B,839445,1,3,51,81,,839445,0,,00dd00,,,,,0,1,,"Javad Falsafi5263",gb
D,914948,1,3,51,5,1,914948,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Kenneth Cools",be
D,916829,1,3,51,5,1,916829,0,,00dd00,,,,,0,1,,"Joachim Sand ",se
C,937639,1,3,51,33,,937639,0,,00dd00,,,,,0,1,,"Juan Pablo Mendez Ruiz",es
C,954340,1,3,51,33,,954340,0,,00dd00,,,,,0,1,,"Phil Bunsen",de
D,837,1,2,51,11,2,837,0,TeamEN,ee1d22,ffffff,ee1d22,,,1384,1,,"Randy Peene",us
D,109456,1,2,51,11,2,109456,0,,00dd00,,,,,0,1,,"Tony Howard",gb-eng
D,160528,1,2,51,11,3,160528,0,TugaZ,ffffff,ff1f00,33735b,,,2466,1,,"Joao Cravo",pt
D,191090,1,2,51,11,2,191090,0,HIK,ffffff,0073b7,ffffff,,,719,1,,"Menno van Bohemen",nl
A,247198,1,2,51,60,,247198,0,teamWKG,fa5e06,3f4c54,3f4c54,,,1330,1,,"Kevin Headley ",us
C,277259,1,2,51,39,,277259,0,,00dd00,,,,,0,1,,"Jason Lockyer",gb
C,391366,1,2,51,39,,391366,0,"Bikebox Online",ffffff,0073b7,ffffff,,,2941,1,,"Danny Sampson 4522",gb
B,468148,1,2,51,85,,468148,0,,00dd00,,,,,0,1,,"Aleksander Federici",no
C,497324,1,2,51,39,,497324,0,"Foudre ⚡️",ffffff,81b9e8,ffffff,,,2898,1,,"Yo YO",fr
B,769888,1,2,51,85,,769888,0,WxK,3acc37,0c181f,1c1010,,,323,1,,"William Leiner 🐆",us
B,898541,1,2,51,85,,898541,0,,00dd00,,,,,0,1,,"Martin Schmid",de
A,909382,1,2,51,60,,909382,0,,00dd00,,,,,0,1,,"Luc De Moor",be
A,923151,1,2,51,60,,923151,0,,00dd00,,,,,0,1,,"Jason Leech ZHR B",ie
C,957363,1,2,51,39,,957363,0,,00dd00,,,,,0,1,,"Alex Stec",bb
A,274507,1,1,51,63,,274507,0,,00dd00,,,,,0,1,,"Paul  Carr",au
C,391516,1,1,51,43,,391516,0,,00dd00,,,,,0,1,,"Robertas / FullNorth",lt
A,611393,1,1,51,63,,611393,0,,00dd00,,,,,0,1,,"Andreas Schnorr",de
C,732336,1,1,51,43,,732336,0,,00dd00,,,,,0,1,,"Jan Willem Middelesch",nl
C,825824,1,1,51,43,,825824,0,,00dd00,,,,,0,1,,"Shaz Bat",zw
D,867881,1,1,51,15,2,867881,0,,00dd00,,,,,0,1,,"E d&#039;eau Scheffer 4264",nl
C,894848,1,1,51,43,,894848,0,"Team Italy",dd4b39,ffffff,00a65a,,,588,1,,"Daniel Lancia",it
